Bar,InstrumentID,Time,ActionDay,TradingDay,OpenPrice,HighestPrice,LowestPrice,ClosePrice,VolumeWeightedAveragePrice,Volume,Turnover,OpenInterest
60,IC2103,09:30:00,20201218,20201218,6175.0,6175.0,6175.0,6175.0,6175.0,20,24700000,78630.0
60,IC2103,09:31:00,20201218,20201218,6175.0,6178.4,6166.2,6177.8,6173.0,276,340800000,78445.0
60,IC2103,09:32:00,20201218,20201218,6177.8,6178.4,6168.6,6173.8,6173.0,203,250660000,78325.0
60,IC2103,09:33:00,20201218,20201218,6172.8,6175.4,6167.6,6170.0,6172.0,134,165410000,78275.0
60,IC2103,09:34:00,20201218,20201218,6170.0,6174.0,6168.2,6172.0,6170.0,92,113540000,78225.0
60,IC2103,09:35:00,20201218,20201218,6172.0,6172.2,6161.2,6161.2,6166.0,143,176350000,78152.0
60,IC2103,09:36:00,20201218,20201218,6161.2,6169.2,6161.2,6162.4,6165.0,171,210860000,78039.0
60,IC2103,09:37:00,20201218,20201218,6162.4,6165.8,6158.0,6164.0,6160.0,197,242740000,77925.0
60,IC2103,09:38:00,20201218,20201218,6164.0,6169.8,6161.6,6169.8,6165.0,90,110970000,77875.0
60,IC2103,09:39:00,20201218,20201218,6169.0,6170.4,6163.8,6166.0,6167.0,88,108540000,77837.0
60,IC2103,09:40:00,20201218,20201218,6165.4,6170.0,6163.0,6167.6,6167.0,188,231880000,77708.0
60,IC2103,09:41:00,20201218,20201218,6167.6,6168.0,6163.0,6167.6,6165.0,150,184950000,77623.0
60,IC2103,09:42:00,20201218,20201218,6166.6,6168.2,6163.8,6165.4,6165.0,73,90010000,77597.0
60,IC2103,09:43:00,20201218,20201218,6165.4,6168.0,6164.4,6165.0,6166.0,36,44400000,77583.0
60,IC2103,09:44:00,20201218,20201218,6166.0,6178.4,6165.2,6178.4,6171.0,109,134540000,77550.0
60,IC2103,09:45:00,20201218,20201218,6177.2,6182.2,6176.8,6177.0,6180.0,174,215070000,77484.0
60,IC2103,09:46:00,20201218,20201218,6178.0,6178.0,6169.8,6171.0,6173.0,90,111120000,77455.0
60,IC2103,09:47:00,20201218,20201218,6171.0,6172.6,6167.0,6172.6,6169.0,95,117220000,77433.0
60,IC2103,09:48:00,20201218,20201218,6172.6,6177.4,6171.0,6176.8,6175.0,110,135850000,77390.0
60,IC2103,09:49:00,20201218,20201218,6176.8,6183.0,6176.2,6182.0,6179.0,194,239760000,77300.0
60,IC2103,09:50:00,20201218,20201218,6182.0,6191.8,6182.0,6191.8,6188.0,156,193070000,77297.0
60,IC2103,09:51:00,20201218,20201218,6191.8,6199.4,6191.8,6198.6,6197.0,262,324730000,77237.0
60,IC2103,09:52:00,20201218,20201218,6198.2,6199.0,6195.4,6196.0,6197.0,132,163610000,77226.0
60,IC2103,09:53:00,20201218,20201218,6196.0,6199.6,6192.4,6192.4,6197.0,196,242940000,77204.0
60,IC2103,09:54:00,20201218,20201218,6192.4,6193.2,6187.2,6187.2,6190.0,105,129990000,77174.0
60,IC2103,09:55:00,20201218,20201218,6187.4,6187.6,6180.0,6182.4,6182.0,186,230000000,77098.0
60,IC2103,09:56:00,20201218,20201218,6182.4,6183.6,6177.2,6178.0,6180.0,90,111240000,77075.0
60,IC2103,09:57:00,20201218,20201218,6178.4,6184.0,6178.4,6182.6,6181.0,86,106330000,77053.0
60,IC2103,09:58:00,20201218,20201218,6182.6,6185.0,6180.6,6183.6,6182.0,69,85320000,77020.0
60,IC2103,09:59:00,20201218,20201218,6183.6,6183.6,6177.4,6178.0,6179.0,59,72920000,77010.0
60,IC2103,10:00:00,20201218,20201218,6178.0,6178.0,6172.4,6173.0,6174.0,154,190180000,76978.0
60,IC2103,10:01:00,20201218,20201218,6172.8,6180.2,6172.2,6180.2,6175.0,171,211200000,76941.0
60,IC2103,10:02:00,20201218,20201218,6180.2,6181.0,6176.2,6180.4,6178.0,86,106270000,76934.0
60,IC2103,10:03:00,20201218,20201218,6180.2,6181.2,6177.8,6179.8,6180.0,60,74160000,76922.0
60,IC2103,10:04:00,20201218,20201218,6181.0,6183.4,6179.6,6181.8,6182.0,43,53170000,76917.0
60,IC2103,10:05:00,20201218,20201218,6181.8,6182.4,6178.0,6178.2,6179.0,61,75390000,76905.0
60,IC2103,10:06:00,20201218,20201218,6178.2,6178.2,6173.2,6174.8,6176.0,65,80290000,76886.0
60,IC2103,10:07:00,20201218,20201218,6174.8,6175.0,6168.0,6169.8,6170.0,132,162890000,76853.0
60,IC2103,10:08:00,20201218,20201218,6168.8,6171.8,6168.4,6171.8,6170.0,59,72810000,76843.0
60,IC2103,10:09:00,20201218,20201218,6171.8,6176.8,6171.2,6172.6,6174.0,63,77800000,76825.0
60,IC2103,10:10:00,20201218,20201218,6172.6,6177.0,6172.6,6177.0,6175.0,36,44460000,76832.0
60,IC2103,10:11:00,20201218,20201218,6176.0,6176.0,6170.0,6171.6,6171.0,73,90110000,76833.0
60,IC2103,10:12:00,20201218,20201218,6172.4,6174.4,6170.6,6172.0,6173.0,52,64200000,76826.0
60,IC2103,10:13:00,20201218,20201218,6172.0,6172.6,6170.6,6171.0,6171.0,51,62950000,76832.0
60,IC2103,10:14:00,20201218,20201218,6172.0,6172.0,6169.4,6170.0,6170.0,78,96260000,76824.0
60,IC2103,10:15:00,20201218,20201218,6169.2,6169.2,6163.4,6163.4,6166.0,108,133190000,76794.0
60,IC2103,10:16:00,20201218,20201218,6163.8,6165.0,6162.0,6165.0,6162.0,113,139280000,76772.0
60,IC2103,10:17:00,20201218,20201218,6165.0,6171.2,6164.2,6171.2,6168.0,84,103630000,76783.0
60,IC2103,10:18:00,20201218,20201218,6171.2,6173.2,6170.2,6171.2,6171.0,65,80230000,76774.0
60,IC2103,10:19:00,20201218,20201218,6172.2,6177.6,6172.0,6177.6,6174.0,85,104970000,76777.0
60,IC2103,10:20:00,20201218,20201218,6177.6,6177.6,6173.8,6175.0,6176.0,34,42000000,76777.0
60,IC2103,10:21:00,20201218,20201218,6175.0,6178.6,6173.8,6178.6,6176.0,88,108710000,76783.0
60,IC2103,10:22:00,20201218,20201218,6179.0,6181.8,6178.4,6179.8,6179.0,80,98870000,76758.0
60,IC2103,10:23:00,20201218,20201218,6179.4,6181.4,6178.0,6180.0,6179.0,37,45730000,76750.0
60,IC2103,10:24:00,20201218,20201218,6180.0,6182.6,6178.2,6179.6,6180.0,54,66750000,76742.0
60,IC2103,10:25:00,20201218,20201218,6179.6,6179.6,6174.2,6175.8,6177.0,76,93900000,76724.0
60,IC2103,10:26:00,20201218,20201218,6176.0,6177.0,6174.4,6175.2,6175.0,52,64230000,76713.0
60,IC2103,10:27:00,20201218,20201218,6175.2,6177.6,6173.6,6177.0,6175.0,59,72870000,76691.0
60,IC2103,10:28:00,20201218,20201218,6177.4,6178.0,6174.8,6178.0,6176.0,45,55590000,76670.0
60,IC2103,10:29:00,20201218,20201218,6176.6,6176.8,6171.0,6171.0,6174.0,68,83970000,76635.0
60,IC2103,10:31:00,20201218,20201218,6171.0,6176.4,6171.0,6175.8,6174.0,109,134600000,76596.0
60,IC2103,10:32:00,20201218,20201218,6176.2,6179.4,6176.2,6178.4,6177.0,72,88960000,76582.0
60,IC2103,10:33:00,20201218,20201218,6178.4,6178.6,6175.0,6177.2,6176.0,41,50650000,76571.0
60,IC2103,10:34:00,20201218,20201218,6177.8,6179.6,6176.0,6177.2,6178.0,47,58080000,76568.0
60,IC2103,10:35:00,20201218,20201218,6178.6,6178.6,6172.6,6174.8,6175.0,84,103740000,76539.0
60,IC2103,10:36:00,20201218,20201218,6173.6,6176.0,6173.0,6174.8,6174.0,54,66680000,76542.0
60,IC2103,10:37:00,20201218,20201218,6176.0,6177.8,6174.4,6177.8,6176.0,53,65470000,76544.0
60,IC2103,10:38:00,20201218,20201218,6179.0,6179.4,6176.6,6179.4,6177.0,68,84020000,76553.0
60,IC2103,10:39:00,20201218,20201218,6179.4,6179.4,6174.4,6174.4,6176.0,64,79060000,76550.0
60,IC2103,10:40:00,20201218,20201218,6175.6,6177.6,6174.2,6175.0,6176.0,137,169230000,76497.0
60,IC2103,10:41:00,20201218,20201218,6176.0,6179.0,6175.0,6177.8,6177.0,62,76600000,76496.0
60,IC2103,10:42:00,20201218,20201218,6177.6,6182.0,6176.4,6182.0,6179.0,81,100110000,76498.0
60,IC2103,10:43:00,20201218,20201218,6182.0,6183.8,6180.8,6182.6,6182.0,81,100160000,76500.0
60,IC2103,10:44:00,20201218,20201218,6182.6,6184.0,6175.4,6175.6,6179.0,114,140900000,76486.0
60,IC2103,10:45:00,20201218,20201218,6175.6,6176.0,6174.0,6175.2,6174.0,77,95090000,76468.0
60,IC2103,10:46:00,20201218,20201218,6175.2,6177.4,6171.0,6171.2,6173.0,132,162970000,76436.0
60,IC2103,10:47:00,20201218,20201218,6171.2,6172.8,6167.0,6167.0,6169.0,53,65400000,76431.0
60,IC2103,10:48:00,20201218,20201218,6167.0,6169.6,6165.2,6167.2,6168.0,55,67850000,76428.0
60,IC2103,10:49:00,20201218,20201218,6167.2,6169.0,6164.8,6167.2,6166.0,54,66600000,76427.0
60,IC2103,10:50:00,20201218,20201218,6167.2,6168.4,6166.6,6168.0,6168.0,24,29610000,76429.0
60,IC2103,10:51:00,20201218,20201218,6168.2,6168.2,6163.0,6165.2,6164.0,77,94940000,76429.0
60,IC2103,10:52:00,20201218,20201218,6165.0,6169.0,6165.0,6166.8,6167.0,26,32070000,76422.0
60,IC2103,10:53:00,20201218,20201218,6167.8,6171.4,6167.8,6170.2,6170.0,52,64170000,76416.0
60,IC2103,10:54:00,20201218,20201218,6170.2,6170.2,6167.6,6169.4,6168.0,30,37010000,76410.0
60,IC2103,10:55:00,20201218,20201218,6169.4,6169.6,6167.2,6168.8,6168.0,30,37010000,76401.0
60,IC2103,10:56:00,20201218,20201218,6167.6,6168.8,6165.0,6165.0,6166.0,39,48100000,76406.0
60,IC2103,10:57:00,20201218,20201218,6165.0,6169.0,6162.6,6169.0,6165.0,39,48090000,76405.0
60,IC2103,10:58:00,20201218,20201218,6169.0,6171.0,6168.2,6169.0,6168.0,29,35780000,76391.0
60,IC2103,10:59:00,20201218,20201218,6167.6,6169.6,6166.8,6168.4,6168.0,27,33310000,76385.0
60,IC2103,11:00:00,20201218,20201218,6168.4,6169.2,6167.0,6168.6,6167.0,40,49340000,76369.0
60,IC2103,11:01:00,20201218,20201218,6168.6,6171.6,6168.4,6171.2,6170.0,29,35790000,76366.0
60,IC2103,11:02:00,20201218,20201218,6171.2,6171.4,6166.6,6167.0,6168.0,47,57980000,76357.0
60,IC2103,11:03:00,20201218,20201218,6167.0,6168.4,6165.6,6166.2,6167.0,34,41940000,76354.0
60,IC2103,11:04:00,20201218,20201218,6166.2,6171.2,6165.8,6171.2,6168.0,33,40710000,76342.0
60,IC2103,11:05:00,20201218,20201218,6171.2,6172.8,6169.2,6171.8,6171.0,60,74060000,76327.0
60,IC2103,11:06:00,20201218,20201218,6171.8,6175.0,6171.8,6173.2,6173.0,43,53090000,76304.0
60,IC2103,11:07:00,20201218,20201218,6173.2,6173.2,6167.0,6168.6,6170.0,47,58000000,76290.0
60,IC2103,11:08:00,20201218,20201218,6168.6,6171.2,6168.0,6168.6,6167.0,39,48110000,76289.0
60,IC2103,11:09:00,20201218,20201218,6168.4,6168.4,6165.6,6167.0,6167.0,54,66610000,76289.0
60,IC2103,11:10:00,20201218,20201218,6167.0,6170.6,6166.0,6168.0,6167.0,53,65380000,76281.0
60,IC2103,11:11:00,20201218,20201218,6168.0,6173.0,6167.4,6170.6,6170.0,29,35790000,76276.0
60,IC2103,11:12:00,20201218,20201218,6170.6,6171.2,6166.8,6167.2,6168.0,70,86360000,76266.0
60,IC2103,11:13:00,20201218,20201218,6167.2,6169.0,6166.2,6169.0,6167.0,46,56740000,76275.0
60,IC2103,11:14:00,20201218,20201218,6167.8,6168.2,6165.2,6165.2,6166.0,58,71530000,76282.0
60,IC2103,11:15:00,20201218,20201218,6165.2,6168.6,6165.2,6167.8,6166.0,57,70300000,76288.0
60,IC2103,11:16:00,20201218,20201218,6167.8,6170.0,6166.0,6169.8,6167.0,51,62910000,76275.0
60,IC2103,11:17:00,20201218,20201218,6169.6,6172.0,6169.6,6169.8,6171.0,39,48140000,76276.0
60,IC2103,11:18:00,20201218,20201218,6169.8,6171.8,6168.6,6171.2,6169.0,33,40720000,76272.0
60,IC2103,11:19:00,20201218,20201218,6171.2,6173.4,6170.6,6173.4,6172.0,36,44440000,76274.0
60,IC2103,11:20:00,20201218,20201218,6173.4,6176.0,6170.8,6175.6,6174.0,61,75330000,76260.0
60,IC2103,11:21:00,20201218,20201218,6175.6,6179.0,6174.6,6179.0,6177.0,98,121070000,76273.0
60,IC2103,11:22:00,20201218,20201218,6179.0,6180.0,6174.6,6174.6,6177.0,62,76600000,76273.0
60,IC2103,11:23:00,20201218,20201218,6174.0,6176.2,6173.8,6174.4,6175.0,24,29640000,76277.0
60,IC2103,11:24:00,20201218,20201218,6174.4,6175.0,6171.0,6172.4,6173.0,45,55560000,76259.0
60,IC2103,11:25:00,20201218,20201218,6172.4,6172.4,6167.0,6167.4,6170.0,40,49360000,76258.0
60,IC2103,11:26:00,20201218,20201218,6167.4,6168.6,6166.0,6166.0,6166.0,42,51800000,76259.0
60,IC2103,11:27:00,20201218,20201218,6166.0,6169.4,6165.0,6168.0,6166.0,42,51800000,76255.0
60,IC2103,11:28:00,20201218,20201218,6168.0,6172.0,6168.0,6172.0,6170.0,27,33320000,76255.0
60,IC2103,11:29:00,20201218,20201218,6172.0,6173.0,6169.8,6170.4,6171.0,21,25920000,76262.0
60,IC2103,13:00:00,20201218,20201218,6170.4,6173.0,6170.2,6173.0,6171.0,23,28390000,76273.0
60,IC2103,13:01:00,20201218,20201218,6173.0,6173.0,6168.8,6171.0,6171.0,28,34560000,76270.0
